ASIN,Group,Profit
1573229326,Book,31.96
0070331766,Book,31.96
0805055592,Book,43.35
6304819757,Video,33.9
0903505355,Book,124.64999999999999
B00000GAZM,Music,24.400000000000002
0694007099,Book,43.35
B00008GQVU,Music,36.540000000000006
B000002KZC,Music,25.200000000000003
0804115427,Book,58.5
0811726371,Book,116.75
0590568833,Book,20.5
0590282085,Book,51.23
0130619892,Book,116.75999999999999
B00000JLFG,Music,22.200000000000003
0127059024,Book,58.74
0385504209,Music,55.74
0064440451,Video,59.2
0805045767,Book,59.2
0760314071,Book,150.6
0679421203,Book,69.03
0023956224,Book,59.050000000000004
0821759965,Book,64.75
0122564758,Book,19.349999999999998
0835234584,Book,176.82000000000002
0970044216,Book,91.28000000000002
B00005O7UM,Music,8.33
0807849642,Book,34.2
0192854429,Book,32.22
B000056HEC,DVD,40.08
0448095084,Book,80.46
B00005RIYT,DVD,36.72
0375416854,Book,51.36
0898622832,Book,100.35
0553382039,Book,114.7
0865681171,Book,120.9
044640344X,Book,99.6
1563087502,Book,118.61999999999999
1551668866,Book,34.08
0750670711,Book,208.35
0767904362,Book,64.68
0393303330,Book,98.28000000000002
0520217551,Book,59.76
0130219193,Book,116.88
0399131493,Book,68.97
0613501349,Book,106.88
0380822245,Book,107.30000000000001
1569472963,Book,105.0
B000007URM,Music,10.920000000000002
0883681579,Book,117.6
B0000027W8,Music,20.3
0785249842,Book,36.839999999999996
0966345770,Book,66.17
0486283011,Book,18.33
0321063961,Book,146.85
0674961889,Book,33.32
1572810092,Book,68.75
1564554414,Book,164.7
0688140033,Book,67.04
0878339949,Book,90.72000000000001
0971195307,Book,40.019999999999996
0061084441,Book,82.2
B000050XYJ,Video,31.430000000000003
0807731676,Book,116.74000000000001
B0000072YS,Music,9.55
0471288616,Book,26.240000000000002
0780023633,Video,10.120000000000001
0618115943,Book,17.55
034543711X,Book,55.4
B00004TCGE,Music,4.859999999999999
0849911435,Book,99.45
0486270106,Book,23.61
0804731926,Book,91.36
B000002WZP,Music,32.01
0395765307,Book,41.800000000000004
0471346713,Book,104.67
039309202X,Book,56.88
B000005HO0,Music,7.76
0786915072,Book,35.43
1555534678,Book,51.2
1578631718,Book,85.02
0195928563,Book,27.689999999999998
3791327879,Book,58.199999999999996
0898866111,Book,70.42
1566563607,Book,76.37
0571201555,Book,98.7
B00005QJ2D,Music,4.89
1577310810,Book,78.89
0553572946,Book,33.36
B00000IJGQ,Music,20.7
0804119732,Book,75.52
032406053X,Book,54.64
0671551337,Book,26.05
B000003N7W,Music,33.67
0713486694,Book,122.85000000000001
0345416260,Book,55.44
158089013X,Book,41.519999999999996
B000003BGS,Music,9.56
B000005IZS,Music,17.28
006447044X,Book,117.53999999999999
1591391261,Book,21.6
0385722613,Book,71.05
0793528437,Book,95.62
B000055XMI,DVD,90.3
0130109533,Book,15.84
1886752133,Book,141.68
0451151674,Book,39.78
0895262924,Book,54.650000000000006
0521467136,Book,61.8
0385495102,Book,25.1
0140187707,Book,75.53
0312243995,Book,19.86
0872072452,Book,91.14000000000001
0814660762,Book,187.59
B00004TVH6,Music,33.28
1582430861,Book,45.88
6305908648,DVD,24.96
155788238X,Book,41.440000000000005
0226306526,Book,71.63
0415106478,Book,122.08000000000001
0873641868,Book,56.04
1892053047,Book,158.6
0446672483,Book,114.57
0871541300,Book,81.27
0520208609,Book,126.99
0130630853,Book,61.8
0836246268,Book,43.35
0471621625,Book,47.22
055357695X,Book,114.18
0914339974,Book,112.32000000000001
0439404096,Book,25.48
1561708976,Book,108.30000000000001
0735614237,Book,97.4
1581700318,Book,169.68
1882376331,Book,40.28
B000001436,Music,7.35
0749438649,Book,157.04999999999998
B00000I69L,Music,33.15
B00004Z4SH,DVD,33.3
0471435651,Book,113.04
0679764399,Book,83.52
B0000001P7,Music,13.77
0399147365,Book,40.44
0684853523,Book,52.24
1567187382,Book,74.13000000000001
B00004X0RD,Music,10.53
0316826200,Book,95.69000000000001
0789447312,Book,103.51
0689811705,Book,43.1
5631135469,Book,18.18
0887307396,Book,123.80000000000001
B00005NQK3,Music,15.0
B000002851,Music,20.160000000000004
1930983131,Book,18.18
1931543143,Book,36.6
0375823026,Book,131.60000000000002
B00004RGT7,Music,32.56
0792299957,DVD,77.39999999999999
0883856441,Book,121.66
0806522380,Book,63.07000000000001
0471399612,Book,129.36
B00005K9PO,DVD,57.85
156097415X,Book,23.76
0226288811,Book,55.92
B00008LDO2,DVD,146.3
0521456479,Book,58.52
9622095852,Book,91.56
0521633125,Book,50.94
B000068V9H,DVD,20.64
6304238096,Video,71.25
1928832040,Book,18.87
0486254984,Book,64.68
0271020563,Book,67.08
0471899755,Book,31.89
3540650350,Book,96.57
0824518020,Book,140.58
B00000JCD2,Music,17.2
1557988900,Book,147.70000000000002
0898867657,Book,53.550000000000004
0316147869,Book,99.4
0440240840,Book,89.32000000000001
0935526811,Book,106.96000000000001
1561890456,Book,91.7
0793801885,Book,113.2
B00001ZSXN,Music,14.41
0671318152,Book,84.8
B000005JAD,Music,33.75
0452279577,Book,51.150000000000006
6305972001,DVD,135.0
B00007K019,DVD,15.209999999999999
0471252107,Book,65.23
0385023510,Book,59.99000000000001
0521285429,Book,86.94
158240206X,Book,64.89
0830812784,Book,68.39999999999999
0886779332,Book,22.6
0736401237,Book,107.10000000000001
0821759833,Book,56.480000000000004
042517879X,Book,26.16
0670844985,Book,140.70000000000002
B000059HAB,DVD,22.14
1576750752,Book,140.53
0764307932,Book,185.12
B000002WBS,Music,11.79
B00005B803,DVD,140.25
0767411633,Book,94.0
0310218500,Book,59.18
0721670040,Book,173.55
0691050252,Book,142.10000000000002
0918804205,Book,89.7
0030556678,Book,45.290000000000006
B0000033VW,Music,12.850000000000001
1929132271,Book,160.68
0743411978,Book,164.34
1587241056,Book,64.8
157071391X,Book,65.65
156025405X,Book,190.84
076790639X,Book,82.17
0135205298,Book,91.76
9185496499,Book,75.6
1580632084,Book,43.52
1585421952,Book,21.3
0814756441,Book,172.9
0452011019,Book,70.02
0195137043,Book,28.05
0231081812,Book,22.23
B000002L0R,Music,20.24
B000067UUJ,Music,34.08
0062500392,Book,72.10000000000001
0838817726,Book,158.06
0060502495,Book,180.05
B000059SV0,Music,29.380000000000003
0871239795,Book,46.4
630478578X,Video,30.8
6302666708,Video,42.51
0060196653,Book,79.10000000000001
0440506603,Book,118.94999999999999
0882402323,Book,47.46000000000001
0823048284,Book,105.11999999999999
0679729461,Book,23.240000000000002
156718622X,Book,59.309999999999995
0373239963,Book,103.60000000000001
1561011584,Book,56.44
0521783968,Book,132.29999999999998
0520221575,Book,82.2
0768430305,Book,68.12
0345458745,Book,40.86
0316075957,Book,84.49000000000001
0385498772,Book,107.04
1574322621,Book,95.94
0385469306,Book,119.2
0767907698,Book,71.75999999999999
0806114665,Book,90.63
0849963222,Book,34.6
0596003153,Book,23.43
1561677167,Book,186.9
0312258704,Book,55.900000000000006
1561796395,Book,132.22
1590710061,Book,36.2
0198774753,Book,64.74
156261309X,Book,88.77
0805043829,Book,103.05
0253211190,Book,148.2
0195094824,Book,99.28
B00005AAVB,Music,5.050000000000001
0679740767,Book,60.900000000000006
1569712557,Book,41.25
0751503894,Book,67.92
0316120944,Book,96.96000000000001
0960738207,Book,46.0
0152008640,Book,41.82
0198750145,Book,140.91
0941355187,Book,90.30000000000001
0764566482,Book,98.21000000000001
B000002LKI,Music,18.48
0395669189,Book,77.49000000000001
0886778891,Book,113.3
0440204682,Book,64.44
6302023793,Video,32.85
B00005NVHX,Video,56.72
0811700712,Book,180.44
0683305964,Book,141.15
0375762280,Book,32.04
B000005Z22,Music,16.8
0814322719,Book,24.0
B000002JQA,Music,23.92
0964729202,Book,63.089999999999996
1559273070,Book,189.15
B000000GTL,Music,27.3
1560252529,Book,53.32
0966344804,Book,67.41000000000001
080782450X,Book,174.29999999999998
B00005UW7I,DVD,61.120000000000005
0761926879,Book,126.36
1571457976,Book,50.08
1565920902,Book,151.56
0195143256,Book,61.739999999999995
0766821285,Book,101.30000000000001
0310230020,Book,87.24
1585744492,Book,34.379999999999995
B00005RYMP,DVD,21.8
0967398606,Book,93.84
0405128959,Book,79.10000000000001
6303095232,Video,55.8
1400045940,Book,38.519999999999996
0310208386,Book,114.4
1572306424,Book,97.60000000000001
0911307605,Book,98.84
1585004782,Book,105.82000000000001
1569382158,Video,68.2
0810935406,Book,59.16
0679734511,Book,160.03
0801821584,Book,60.35
0471225797,Book,76.58000000000001
0306811839,Book,36.65
1903980186,Book,23.96
0380798409,Book,118.32000000000001
B00000321L,Music,8.56
087833999X,Book,70.60000000000001
086091710X,Book,44.28
B000063DSJ,Music,34.56
B00004NRZE,Music,12.81
0590378988,Book,105.30000000000001
0698118200,Book,94.71
0676902219,Book,132.4
6304623712,Video,13.6
0451410394,Book,87.11999999999999
0671886150,Book,65.80000000000001
156625163X,Book,112.8
1565793315,Book,165.20000000000002
B0000687E3,DVD,126.14999999999999
B0000009C8,Music,10.139999999999999
B000056C0N,Video,78.96
0825439256,Book,96.36
0192627252,Book,94.8
0879737069,Book,129.6
B000056PSB,Music,22.86
9626346620,Book,75.02
0940805049,Book,91.08
0140390839,Book,118.32
0452282616,Book,55.28
B00006JOFN,Music,9.84
B0000061R7,Music,4.4399999999999995
1585741868,Book,61.29
0130164674,Book,192.53
B00006IUHK,DVD,42.6
094248701X,Book,177.24
0883965240,Book,68.39999999999999
0312156022,Book,70.92
0915698099,Book,118.32000000000001
1565541553,Book,128.8
0618052623,Book,57.33
058208069X,Book,189.42000000000002
1562613979,Book,118.02000000000001
0890894884,Book,21.84
B000005KR6,Music,14.58
0375753974,Book,42.04
B00004XSYT,Music,17.8
0226041999,Book,80.9
6304653662,Video,28.840000000000003
B0000042EI,Music,8.68
